YBP,KDE
24208.5,0.26073
24207.5,0.26295
24206.5,0.26552
24205.5,0.26788
24204.5,0.27025
24203.5,0.27319
24202.5,0.27563
24201.5,0.27868
24200.5,0.28123
24199.5,0.2845
24198.5,0.2875
24197.5,0.29069
24196.5,0.29381
24195.5,0.29686
24194.5,0.30028
24193.5,0.30356
24192.5,0.30712
24191.5,0.30997
24190.5,0.31381
24189.5,0.3173
24188.5,0.3209
24187.5,0.3245
24186.5,0.3284
24185.5,0.3323
24184.5,0.3359
24183.5,0.3399
24182.5,0.344
24181.5,0.3479
24180.5,0.3522
24179.5,0.3562
24178.5,0.3606
24177.5,0.365
24176.5,0.3694
24175.5,0.374
24174.5,0.3787
24173.5,0.383
24172.5,0.388
24171.5,0.3927
24170.5,0.3978
24169.5,0.4025
24168.5,0.4075
24167.5,0.4125
24166.5,0.4176
24165.5,0.4229
24164.5,0.4283
24163.5,0.4333
24162.5,0.4388
24161.5,0.4442
24160.5,0.4494
24159.5,0.455
24158.5,0.4603
24157.5,0.4658
24156.5,0.4717
24155.5,0.477
24154.5,0.4826
24153.5,0.4885
24152.5,0.4942
24151.5,0.5
24150.5,0.506
24149.5,0.5122
24148.5,0.5183
24147.5,0.5239
24146.5,0.53
24145.5,0.5363
24144.5,0.542
24143.5,0.5476
24142.5,0.5535
24141.5,0.559
24140.5,0.5646
24139.5,0.5704
24138.5,0.5759
24137.5,0.5816
24136.5,0.5871
24135.5,0.5929
24134.5,0.5984
24133.5,0.6039
24132.5,0.6095
24131.5,0.6149
24130.5,0.6201
24129.5,0.626
24128.5,0.631
24127.5,0.6361
24126.5,0.6415
24125.5,0.6461
24124.5,0.6511
24123.5,0.6557
24122.5,0.6603
24121.5,0.6646
24120.5,0.6692
24119.5,0.6739
24118.5,0.6776
24117.5,0.6819
24116.5,0.6857
24115.5,0.6896
24114.5,0.6928
24113.5,0.6962
24112.5,0.6996
24111.5,0.703
24110.5,0.7059
24109.5,0.709
24108.5,0.7117
24107.5,0.7141
24106.5,0.7167
24105.5,0.7196
24104.5,0.7216
24103.5,0.7238
24102.5,0.7254
24101.5,0.7273
24100.5,0.7292
24099.5,0.7305
24098.5,0.7316
24097.5,0.7327
24096.5,0.734
24095.5,0.7342
24094.5,0.7347
24093.5,0.7348
24092.5,0.735
24091.5,0.735
24090.5,0.7343
24089.5,0.7343
24088.5,0.7333
24087.5,0.7324
24086.5,0.7312
24085.5,0.7302
24084.5,0.729
24083.5,0.7272
24082.5,0.7258
24081.5,0.7243
24080.5,0.7223
24079.5,0.7199
24078.5,0.7176
24077.5,0.7148
24076.5,0.712
24075.5,0.709
24074.5,0.7062
24073.5,0.7027
24072.5,0.6989
24071.5,0.6954
24070.5,0.692
24069.5,0.6881
24068.5,0.6847
24067.5,0.6805
24066.5,0.6761
24065.5,0.6719
24064.5,0.6677
24063.5,0.6633
24062.5,0.6584
24061.5,0.654
24060.5,0.6489
24059.5,0.6444
24058.5,0.6393
24057.5,0.634
24056.5,0.6291
24055.5,0.6236
24054.5,0.6191
24053.5,0.6132
24052.5,0.6076
24051.5,0.6024
24050.5,0.5962
24049.5,0.591
24048.5,0.585
24047.5,0.5794
24046.5,0.5736
24045.5,0.5678
24044.5,0.562
24043.5,0.5559
24042.5,0.5502
24041.5,0.5443
24040.5,0.5383
24039.5,0.5327
24038.5,0.527
24037.5,0.5217
24036.5,0.5158
24035.5,0.5102
24034.5,0.505
24033.5,0.5
24032.5,0.4942
24031.5,0.489
24030.5,0.4841
24029.5,0.4792
24028.5,0.4737
24027.5,0.4685
24026.5,0.4641
24025.5,0.4595
24024.5,0.4547
24023.5,0.4501
24022.5,0.4457
24021.5,0.4414
24020.5,0.4372
